family,n_obj,algorithm,runs,mean,std,median,q25,q75,iqr,scope,metric,direction
ZCAT,5,nsgaii_archive_off,30,7.207812405401317,3.4680838726788163,7.034148096890615,4.3589747803146635,9.477164405124975,5.118189624810312,final_population,indicator_igd_plus,min
ZCAT,5,nsgaii_archive_passive,30,7.207812405401317,3.4680838726788163,7.034148096890615,4.3589747803146635,9.477164405124975,5.118189624810312,final_population,indicator_igd_plus,min
ZDT,2,nsgaii_archive_hybrid,50,0.3033073547494276,0.17485511544890606,0.28435947322606236,0.273391027457126,0.4638393399156081,0.1904483124584821,final_population,indicator_igd_plus,min
ZDT,2,nsgaii_archive_off,50,0.3036419450344975,0.17761497550627947,0.2883556440375863,0.27316091786588576,0.4466367274296948,0.17347580956380904,final_population,indicator_igd_plus,min
ZDT,2,nsgaii_archive_passive,50,0.3036419450344975,0.17761497550627947,0.2883556440375863,0.27316091786588576,0.4466367274296948,0.17347580956380904,final_population,indicator_igd_plus,min
DTLZ,2,nsgaii_archive_hybrid,30,3.6337951621981097,1.5496859655918769,4.362922889462657,1.513339456171595,5.0253873331881165,3.5120478770165215,archive_subset,archive_subset_hv,max
DTLZ,2,nsgaii_archive_passive,30,3.6339895049525937,1.5498303632081347,4.362994069999948,1.5133986880716952,5.024888348507738,3.511489660436043,archive_subset,archive_subset_hv,max
DTLZ,3,nsgaii_archive_hybrid,30,103168.87226355106,8319.875763877624,108952.87483897936,91627.36842014962,108953.82408790298,17326.455667753355,archive_subset,archive_subset_hv,max
DTLZ,3,nsgaii_archive_passive,30,103177.11487670772,8308.48088545179,108953.15726882897,91656.4190341741,108953.82544226224,17297.406408088136,archive_subset,archive_subset_hv,max
DTLZ,5,nsgaii_archive_hybrid,30,47573750876998.15,149648221667.2176,47671409620779.71,47369439638168.65,47688763400751.14,319323762582.4922,archive_subset,archive_subset_hv,max
DTLZ,5,nsgaii_archive_passive,30,47579614980670.29,152837614014.42596,47683992484593.42,47373405305903.32,47688764373494.336,315359067591.0156,archive_subset,archive_subset_hv,max
WFG,2,nsgaii_archive_hybrid,30,5.815853922030535,1.481808520481975,6.662576758662997,3.96911897430042,7.0177920514743395,3.0486730771739197,archive_subset,archive_subset_hv,max
WFG,2,nsgaii_archive_passive,30,5.846690218457521,1.5146390979540305,6.801953323470521,3.9501350581454235,7.0834250375581735,3.13328997941275,archive_subset,archive_subset_hv,max
WFG,3,nsgaii_archive_hybrid,30,54.64160925362398,10.480401439309981,58.555137325939825,43.1837689147004,64.12191060827574,20.93814169357534,archive_subset,archive_subset_hv,max
WFG,3,nsgaii_archive_passive,30,54.88869973285403,10.384379770266202,59.27687013867512,42.60131502633835,63.557313177454304,20.955998151115956,archive_subset,archive_subset_hv,max
WFG,5,nsgaii_archive_hybrid,30,9371.577824039032,2282.871750985609,9852.785583050732,6556.813062053991,11189.43910763365,4632.626045579659,archive_subset,archive_subset_hv,max
WFG,5,nsgaii_archive_passive,30,9506.66372106988,2372.020111411047,10666.838333598349,6311.241929191796,11463.65679012687,5152.414860935074,archive_subset,archive_subset_hv,max
ZCAT,2,nsgaii_archive_hybrid,30,2.572681624079804,0.8344548210096087,3.1437470698217247,1.4131143336054246,3.161379604441441,1.7482652708360165,archive_subset,archive_subset_hv,max
ZCAT,2,nsgaii_archive_passive,30,2.574654978461662,0.8363500830619882,3.1476690421720264,1.412399451563603,3.163873436653817,1.751473985090214,archive_subset,archive_subset_hv,max
ZCAT,3,nsgaii_archive_hybrid,30,895.7593285311536,98.22256339246421,837.6829844580022,795.4388409501536,1015.1809622553681,219.74212130521448,archive_subset,archive_subset_hv,max
ZCAT,3,nsgaii_archive_passive,30,889.9131052029377,97.6785869953072,838.1767009517079,796.9345243852989,1014.9055176968981,217.97099331159916,archive_subset,archive_subset_hv,max
