host,problem,variant,variant_group,n_runs,mean_hv,mean_igd_plus,mean_time_ms,mean_average_reward,mean_average_overhead_ms,mean_family_concentration,mean_regime_concentration,mean_intent_concentration,mean_family_switches,mean_intent_switches,mean_regime_switches,mean_family_share_sbx_like,mean_family_share_de_like,mean_regime_share_repair,mean_regime_share_expand,mean_regime_share_refine,mean_intent_share_exploratory,mean_intent_share_balanced,mean_intent_share_local_refine,mean_intent_share_mutation_heavy,mean_intent_share_feasibility_biased,comparison_to_baseline,hv_delta_vs_baseline,runtime_ratio_vs_baseline
moead,zdt2,adaptive_flat_operator,adaptive,10,2.488413434479657,1.0255630218349634,582.269050006289,0.33558649805636864,0.29150751356562404,0.881049861495845,0.9909567174515235,1.0,43.2,0.0,2.4,0.06473684210526316,0.9352631578947369,0.0,0.9953947368421053,0.004605263157894737,0.0,1.0,0.0,0.0,0.0,win,1.2555768533748564,4.585701255592182
moead,zdt2,adaptive_flat_parameter,adaptive,10,2.6464035596233058,0.811868167153684,580.6818599929102,0.3417000230430337,0.29430955263945324,1.0,1.0,0.4521035318559557,0.0,169.8,0.0,1.0,0.0,0.0,1.0,0.0,0.5256578947368421,0.034736842105263156,0.04473684210526316,0.3617105263157895,0.0331578947368421,win,1.413566978518505,4.573201227920891
moead,zdt2,adaptive_hierarchical_joint,adaptive,10,2.870442048731193,0.6583350223909937,597.253170015756,0.30862222207236395,0.29794293448120646,0.8515145429362881,0.986095567867036,0.3915986842105263,51.0,220.9,3.4,0.0818421052631579,0.9181578947368422,0.0,0.9928947368421053,0.007105263157894737,0.5213157894736843,0.05,0.05855263157894737,0.3221052631578948,0.04802631578947368,win,1.6376054676263923,4.7037097568865835
moead,zdt2,fixed_de,fixed,10,1.2328365811048008,2.1512545029222347,126.97491998551413,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline,0.0,1.0
moead,zdt2,fixed_sbx,fixed,10,2.347343795615285,1.080389323646817,119.83655999647453,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,win,1.1145072145104844,0.9437813389458802
moead,zdt3,adaptive_flat_operator,adaptive,10,2.8932336723563212,0.5372758436518988,605.4118300089613,0.2878677918845322,0.3060043681455825,0.8205765235457063,0.9641842105263159,1.0,61.1,0.0,8.9,0.10039473684210527,0.8996052631578948,0.0,0.9813157894736841,0.01868421052631579,0.0,1.0,0.0,0.0,0.0,win,0.7312842553390255,4.441040471150903
moead,zdt3,adaptive_flat_parameter,adaptive,10,2.6301545976175893,0.5012355995132353,580.1124699995853,0.30477140280517345,0.29630022313396787,1.0,1.0,0.4560789473684211,0.0,178.7,0.0,1.0,0.0,0.0,1.0,0.0,0.5242105263157895,0.050394736842105256,0.06236842105263157,0.3292105263157895,0.03381578947368421,win,0.4682051806002936,4.255455261006939
moead,zdt3,adaptive_hierarchical_joint,adaptive,10,3.052074745417648,0.4133929468615628,588.9755200129002,0.2715914849616983,0.29132322331669885,0.7951835180055402,0.9744155124653741,0.3804920360110803,64.2,219.8,7.2,0.11789473684210527,0.8821052631578947,0.0,0.9868421052631579,0.013157894736842105,0.47697368421052627,0.06513157894736842,0.07078947368421053,0.33381578947368423,0.05328947368421053,win,0.8901253284003521,4.3204707791318215
moead,zdt3,fixed_de,fixed,10,2.1619494170172957,1.09283631968287,136.32207000628114,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline,0.0,1.0
moead,zdt3,fixed_sbx,fixed,10,2.6143009970891193,0.5436405047948508,123.38091998826712,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,win,0.45235158007182363,0.9050692964285406
nsgaii,dtlz2,adaptive_flat_operator,adaptive,10,13.51600898618292,0.1683827448180043,34.20691000064835,0.15512922664103912,0.25777473285990327,0.6354570637119114,1.0,1.0,8.8,0.0,0.0,0.24210526315789474,0.7578947368421052,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,loss,-0.015017556663794451,1.4635531203607521
nsgaii,dtlz2,adaptive_flat_parameter,adaptive,10,13.445397280406173,0.1684551567615282,34.75745999021456,0.1882932693273681,0.2565889435477163,1.0,0.6066481994459834,0.24099722991689748,0.0,15.1,1.8,1.0,0.0,0.0,0.6578947368421052,0.34210526315789475,0.26842105263157895,0.1631578947368421,0.3052631578947368,0.13684210526315788,0.12631578947368421,loss,-0.08562926244054125,1.487108570272157
nsgaii,dtlz2,adaptive_hierarchical_joint,adaptive,10,13.458520825115514,0.18445912067364725,35.23683998500928,0.14607474642317989,0.26831052351841017,0.6343490304709141,1.0,0.22105263157894733,9.2,14.4,0.0,0.24210526315789474,0.7578947368421052,0.0,1.0,0.0,0.3052631578947368,0.1631578947368421,0.1631578947368421,0.23157894736842105,0.13684210526315788,loss,-0.07250571773120029,1.5076189901612098
nsgaii,dtlz2,fixed_de,fixed,10,13.127055028211931,0.2386114663483654,21.276880044024438,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,loss,-0.4039715146347831,0.9103378288007646
