host,problem,variant,variant_group,n_runs,mean_hv,mean_igd_plus,mean_time_ms,mean_average_reward,mean_average_overhead_ms,mean_family_concentration,mean_regime_concentration,mean_intent_concentration,mean_family_switches,mean_intent_switches,mean_regime_switches,mean_profile_controller_time_ms,mean_profile_start_step_time_ms,mean_profile_router_time_ms,mean_profile_policy_select_time_ms,mean_profile_policy_update_time_ms,mean_profile_trace_time_ms,mean_profile_decode_time_ms,mean_profile_variation_time_ms,mean_profile_evaluation_time_ms,mean_profile_survival_time_ms,mean_profile_total_runtime_ms,mean_family_share_sbx_like,mean_family_share_de_like,mean_regime_share_repair,mean_regime_share_expand,mean_regime_share_refine,mean_intent_share_exploratory,mean_intent_share_balanced,mean_intent_share_local_refine,mean_intent_share_mutation_heavy,mean_intent_share_feasibility_biased,comparison_to_baseline,hv_delta_vs_baseline,runtime_ratio_vs_baseline
moead,zdt3,fixed_de,fixed,5,2.3113080917889794,0.9719119450930721,146.7002399993362,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline,0.0,1.0
moead,zdt3,fixed_sbx,fixed,5,2.6382018089493817,0.4622631867471269,134.19747999869287,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,win,0.3268937171604023,0.9147734182254924
nsgaii,dtlz2,adaptive_flat_operator,adaptive,5,12.846876726015946,0.17950230051143748,36.14500000112457,0.15734470326203984,0.2913494726894178,0.6476454293628809,1.0,1.0,8.4,0.0,0.0,0.7022599995252676,0.028759999258909374,0.014840003859717399,0.4289399948902428,0.18399999826215208,0.04572000325424597,1.0875400039367378,3.5189799978979863,0.8735199953662232,9.9957399914274,35.998739999195095,0.23157894736842105,0.7684210526315789,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,loss,-0.07894287474863226,1.4469413473113244
nsgaii,dtlz2,adaptive_flat_parameter,adaptive,5,12.808138890021258,0.16410470406262995,35.62030000175582,0.18967307457041818,0.2512021049991936,1.0,0.5966759002770082,0.22770083102493072,0.0,15.0,2.0,0.6553800049005076,0.025039998581632972,0.01145999995060265,0.37823999737156555,0.17703999910736457,0.06360000988934189,0.8775799971772358,4.429199993319344,0.8438599965302274,9.60056000330951,35.44069999916246,1.0,0.0,0.0,0.6947368421052632,0.3052631578947368,0.28421052631578947,0.16842105263157894,0.27368421052631575,0.13684210526315788,0.13684210526315788,loss,-0.1176807107433202,1.4259367789340316
nsgaii,dtlz2,adaptive_hierarchical_joint,adaptive,5,12.80210552725801,0.19228471334246144,36.23593999946024,0.14644196609195576,0.29065263125199925,0.6343490304709141,1.0,0.22216066481994456,9.2,14.2,0.0,0.8578999942983501,0.026280005113221705,0.012720003724098206,0.5895599912037142,0.1905199998873286,0.0388199943699874,1.029220009513665,3.4388799947919324,0.867539992032107,9.917080005106982,36.07058000052348,0.24210526315789474,0.7578947368421052,0.0,1.0,0.0,0.3157894736842105,0.16842105263157894,0.15789473684210525,0.22105263157894733,0.13684210526315788,loss,-0.1237140735065676,1.4505818188485275
nsgaii,dtlz2,adaptive_hierarchical_joint_fixed_family_de,adaptive,5,12.742972913327945,0.2217649111381021,38.401920000615064,0.1384324119314193,0.29954842052814595,1.0,1.0,0.22770083102493072,0.0,17.0,0.0,0.7108600082574412,0.02686000516405329,0.014559997362084687,0.4444200007128529,0.18432000506436452,0.0406999999540858,1.050420010869857,3.1477799944696017,0.9064799902262166,10.71224000188522,38.182760000927374,0.0,1.0,0.0,1.0,0.0,0.3263157894736842,0.15789473684210525,0.15789473684210525,0.23157894736842105,0.12631578947368421,loss,-0.18284668743663346,1.537289413841551
nsgaii,dtlz2,adaptive_hierarchical_joint_fixed_family_sbx,adaptive,5,12.808138890021258,0.16410470406262995,40.77753999881679,0.18967307457041818,0.29420842137800435,1.0,0.5966759002770082,0.22770083102493072,0.0,15.0,2.0,0.7083400007104501,0.027740006044041365,0.015339998935814947,0.4250999918440357,0.19834000268019736,0.04182000120636076,1.013039999816101,5.004940002982039,0.9705599979497492,11.243980006838683,40.55101999838371,1.0,0.0,0.0,0.6947368421052632,0.3052631578947368,0.28421052631578947,0.16842105263157894,0.27368421052631575,0.13684210526315788,0.13684210526315788,loss,-0.1176807107433202,1.6323892284989252
nsgaii,dtlz2,adaptive_hierarchical_joint_no_regime,adaptive,5,12.80210552725801,0.19228471334246144,38.665000001492444,0.14644196609195576,0.3529084212220225,0.6343490304709141,1.0,0.22216066481994456,9.2,14.2,0.0,0.8655399986309931,0.029579995316453278,0.013540004147216678,0.5790399911347777,0.20332000422058627,0.04006000381195918,1.9338999962201342,3.6658200042438693,0.8989199966890737,10.093120000965428,38.47659999883035,0.24210526315789474,0.7578947368421052,0.0,1.0,0.0,0.3157894736842105,0.16842105263157894,0.15789473684210525,0.22105263157894733,0.13684210526315788,loss,-0.1237140735065676,1.5478209211290967
nsgaii,dtlz2,fixed_de,fixed,5,12.366549614402906,0.2638539071905054,22.977560000435915,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,loss,-0.5592699863616719,0.9198279602690033
nsgaii,dtlz2,fixed_sbx,fixed,5,12.925819600764578,0.14823118944336397,24.98028000118211,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline,0.0,1.0
nsgaii,zdt1,adaptive_flat_operator,adaptive,5,3.3959106246540416,0.2556822509427675,40.26937999733491,0.2237065231180241,0.2978357897709908,0.5700831024930748,0.9335180055401662,1.0,10.4,0.0,0.4,0.6962800049223006,0.028940003539901227,0.01777999714249745,0.43369999766582623,0.17522000125609338,0.040640005317982286,1.011119996837806,3.913219994865358,0.4671400020015426,11.20734000869561,40.103500001714565,0.3157894736842105,0.6842105263157895,0.0,0.9578947368421054,0.042105263157894736,0.0,1.0,0.0,0.0,0.0,win,0.14043920839801016,1.3411315767385994
nsgaii,zdt1,adaptive_flat_parameter,adaptive,5,3.251874452171016,0.3743245325545998,44.24270000017714,0.24010590198918166,0.3167526313949278,1.0,0.9224376731301938,0.22991689750692518,0.0,16.2,1.2,0.7598800206324086,0.032660001306794584,0.012900005094707012,0.4741600074339658,0.1970799989067018,0.04308000789023936,1.0091800038935617,5.299279985774774,0.48158000427065417,11.930999989272095,44.07753999985289,1.0,0.0,0.0,0.9578947368421054,0.042105263157894736,0.34736842105263155,0.15789473684210525,0.1894736842105263,0.14736842105263157,0.15789473684210525,loss,-0.0035969640850153084,1.4734590404505186
