problem,algorithm,seed,engine,pop_size,max_evaluations,runtime_seconds,n_solutions,hypervolume,igd_plus
zcat16,gces,0,numpy,80,8000,0.8711698000261094,80,0.9715756802648052,0.010759083685787043
zcat16,gces,1,numpy,80,8000,0.948490499984473,80,0.9781985476386726,0.007946187013010461
zcat16,gces,2,numpy,80,8000,0.8931964999937918,80,0.9797260130286575,0.007554949622609614
zcat16,gces,3,numpy,80,8000,1.016484699997818,80,0.9742635215296294,0.008814051620938153
zcat16,gces,4,numpy,80,8000,0.9208684999903198,80,0.9767150747791321,0.008290502095718445
zcat16,gces,5,numpy,80,8000,0.896965399995679,80,0.9726291293488275,0.009753188207727479
zcat16,gces,6,numpy,80,8000,0.9154860000126064,80,0.9744862565764494,0.00901995411831929
zcat16,gces,7,numpy,80,8000,0.9153765999944881,80,0.9762736230966463,0.008373153930030934
zcat16,gces,8,numpy,80,8000,0.8701290999888442,80,0.9779737424060433,0.00937956255793644
zcat16,gces,9,numpy,80,8000,0.9019687999971211,80,0.9773574015225819,0.007973491891527233
zcat19,nsgaii,0,numpy,80,8000,0.5166230000031646,80,0.9623205279424251,0.01671190139999602
zcat19,nsgaii,1,numpy,80,8000,0.4477664000005461,80,0.9665940489424365,0.0146052864744783
zcat19,nsgaii,2,numpy,80,8000,0.47397650001221336,80,0.9664482614109129,0.014357550928329235
zcat19,nsgaii,3,numpy,80,8000,0.49713649999466725,80,0.9720664651721154,0.012314386952422814
zcat19,nsgaii,4,numpy,80,8000,0.4498979999916628,80,0.9713485034974653,0.012502636601062671
zcat19,nsgaii,5,numpy,80,8000,0.4747524000122212,80,0.969684880966537,0.013269675244542107
zcat19,nsgaii,6,numpy,80,8000,0.4459207000036258,80,0.9740059844786234,0.011315172308673307
zcat19,nsgaii,7,numpy,80,8000,0.4542322999914177,80,0.9685815124383083,0.01376345482790675
zcat19,nsgaii,8,numpy,80,8000,0.47594169998774305,80,0.9682056991740289,0.013760623379255472
zcat19,nsgaii,9,numpy,80,8000,0.4666313999914564,80,0.9674400244598202,0.014003932900896071
zcat19,gces,0,numpy,80,8000,0.930554899998242,80,0.9658093357213681,0.015115251288378874
zcat19,gces,1,numpy,80,8000,0.9274035000125878,80,0.974195458512797,0.011082534789100469
zcat19,gces,2,numpy,80,8000,0.9556528000102844,80,0.9754355247121004,0.011264148869753698
zcat19,gces,3,numpy,80,8000,0.948770200018771,80,0.9663224193318827,0.014803750615357504
zcat19,gces,4,numpy,80,8000,0.9932176999864168,80,0.9732727240294147,0.011805532503403446
zcat19,gces,5,numpy,80,8000,0.901029299973743,80,0.9741618516751935,0.011149061406456402
zcat19,gces,6,numpy,80,8000,0.926134200009983,80,0.9702350315738959,0.013146826730353126
