problem,algorithm,algorithm_label,runs,hv_mean,hv_std,hv_median,igd_plus_mean,igd_plus_std,igd_plus_median,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_median
zcat15,gces_nogeo,gces-noGeo,21,0.9877754660538869,0.011779395369942493,0.9904882043495291,0.013681335371701107,0.042038935162997434,0.004431344306129014,4.6353638809551265,0.11047596613112556,4.601993800024502
zcat15,gces,gces,21,0.9882157465803957,0.010251108936162155,0.9905175126941947,0.012307151709851312,0.03586545581831796,0.004436105012941588,5.504914552379411,0.13819404680924705,5.470220099989092
zcat16,nsgaii,nsgaii,21,0.9865817322612398,0.0009234728103302853,0.9867928483709089,0.0049961576722627795,0.0003397593624031331,0.004939973088994233,2.10022832856824,0.055538424171046145,2.096846499975072
zcat16,nsga2_farthest,nsga2-farthest,21,0.9891102861694213,0.0008510855400462072,0.9888806877131894,0.006222239482473381,0.009703415347550363,0.004198539519566132,19.37033646666151,0.5460603447184982,19.404190400004154
zcat16,gces_nocomp,gces-noComp,21,0.9895941068777411,0.0006839205749709528,0.9896277290743543,0.0038680945888975395,0.0002388510454418169,0.0038263000939188926,8.768707766668827,0.17403840257502912,8.798491199995624
zcat16,gces_nogeo,gces-noGeo,21,0.9898709315546831,0.0005929252655580557,0.9899718060944313,0.0038181197121494852,0.00020859280546857385,0.0037815437429395034,4.246476800000805,0.11717430807231394,4.222925099980785
zcat16,gces,gces,21,0.9900137487405231,0.0004475280167023553,0.9900093984737743,0.003762491265214323,0.0001693892595104315,0.0037196625230921394,4.949569504762102,0.10629240085299055,4.937670900020748
zcat17,nsgaii,nsgaii,21,0.9941313553427928,0.00039518027973897707,0.99411969483355,0.004476479808114327,0.00030488937584666117,0.0045068159784926705,2.1671662047585762,0.0600490083137783,2.1717722000030335
zcat17,nsga2_farthest,nsga2-farthest,21,0.9952355515568043,0.00032319622667233996,0.995300254467324,0.0036513698015524588,0.0002672724926692338,0.0035992680808962256,19.024524842855975,0.5291198900654855,19.085268899973016
zcat17,gces_nocomp,gces-noComp,21,0.9954268235159656,0.000244848865525578,0.9954613206473002,0.0035556885622652743,0.00020271235275337804,0.0035123893048845272,8.122150576191157,0.23123058154028306,8.098364400007995
zcat17,gces_nogeo,gces-noGeo,21,0.9952710991809037,0.00023843914399017995,0.9953012873086947,0.004008486137027658,0.0002322278177427296,0.004004027564988055,4.756302761909042,0.12229589233879923,4.75278559999424
zcat17,gces,gces,21,0.9952828607094887,0.00025869545193194876,0.9952980817919534,0.003967331722947202,0.00033705994377921473,0.0038802140212831305,5.814718609521931,0.18125242810885808,5.834608099976322
zcat18,nsgaii,nsgaii,21,0.9821575572535879,0.022130518292052148,0.9890178321352501,0.0356363225328371,0.09770157079288437,0.004708122010876678,2.117260219046979,0.041089471283293676,2.1136271999857854
zcat18,nsga2_farthest,nsga2-farthest,21,0.9872668374293134,0.016663783513810638,0.9909206483368871,0.019717736325055028,0.07188889404283014,0.004050672772455213,19.068494342855132,0.6004908952623463,19.170616099989275
zcat18,gces_nocomp,gces-noComp,21,0.980577533334841,0.027665227962387285,0.9915823396158575,0.050830622165940635,0.11825104198530671,0.003743788106524763,8.552769076191387,0.5009241942401123,8.683603299985407
zcat18,gces_nogeo,gces-noGeo,21,0.9841392113779784,0.022762144992475867,0.9913719686520974,0.034970349359696895,0.09812269148347044,0.003916529544158909,4.780371490470965,0.1393720497497189,4.767239199980395
zcat18,gces,gces,21,0.9837783085544908,0.023097984280304698,0.9909748381459887,0.035463078694731594,0.09926502092507934,0.004067568956605343,5.70327861904211,0.16605167024138417,5.671441199985566
zcat19,nsgaii,nsgaii,21,0.9845415150396307,0.0008150595219463268,0.9846354489350722,0.0066019466251221745,0.0003549859318055293,0.0064912579694613335,2.0975918190462317,0.07257530296135827,2.097505200013984
zcat19,nsga2_farthest,nsga2-farthest,21,0.9881059144642909,0.000617872141734809,0.9881343700908639,0.005110955668205331,0.000250777482616379,0.0051108907079027936,18.825028376185358,0.48521397977215974,18.687852200004272
zcat19,gces_nocomp,gces-noComp,21,0.9885063863420112,0.0006827831781399882,0.9886616901412156,0.00493683291049552,0.00026934067190600107,0.004907967537774353,7.913284661905242,0.1257767544780736,7.9064412000007
zcat19,gces_nogeo,gces-noGeo,21,0.9860880139579655,0.0007296419779859048,0.9860679425532873,0.006007896735628471,0.00029604842235759436,0.006048590558308897,4.103513214283988,0.13472879855810396,4.090956000000006
zcat19,gces,gces,21,0.9861950750882348,0.0006052389856578355,0.9861113454554978,0.005997412622712383,0.0003458978851676967,0.006026996332621546,5.069870371431101,0.20813489904227903,5.095054599980358
zcat2,nsgaii,nsgaii,21,0.9912232209590517,0.0005086652769840722,0.9913730538135391,0.006271602215185116,0.0003717192060197127,0.006222338329700299,2.055837990473568,0.04431720926677873,2.056322199990973
zcat2,nsga2_farthest,nsga2-farthest,21,0.9929200635401894,0.0005458107336475042,0.9928551615899445,0.005079201310419889,0.0003531849338622993,0.005139943608994848,19.820577561906596,0.5241996899609752,19.822061200015014
zcat2,gces_nocomp,gces-noComp,21,0.9931136227815212,0.00031474405156969306,0.9931669557595421,0.004982566017136005,0.00022659748990713814,0.00498077218300458,8.425023028570216,0.20190080531327206,8.36183149999124
zcat2,gces_nogeo,gces-noGeo,21,0.9922051194918606,0.00035982780390718947,0.9921470605274273,0.005645539934661902,0.00036746876472188686,0.005553326062092265,4.838892204764609,0.0784822217315603,4.835168200021144
zcat2,gces,gces,21,0.9923641855337306,0.00037809981926075246,0.9924252560310354,0.005524338161099071,0.00027012460054942215,0.005492091401498411,6.009291185713318,0.20232976866602911,6.033355399995344
zcat20,nsgaii,nsgaii,21,0.982153267886927,0.022139492211304977,0.989015888153751,0.03565414950295855,0.09769421830111098,0.004716570728304407,1.9273895523801912,0.052805878376508776,1.931315199995879
zcat20,nsga2_farthest,nsga2-farthest,21,0.9872643369194717,0.01667060408935515,0.990919484676232,0.0197243702721421,0.07187705379153374,0.004054131810585922,18.07924819523829,0.7042130374733361,17.990051600005245
