trial_id,score,config_json
39,0.5803005477345028,"{""pop_size"": 199, ""crossover"": ""blx_alpha"", ""crossover_prob"": 0.8763648631687289, ""mutation"": ""pm"", ""mutation_prob_factor"": 2.7016355634886735, ""mutation_eta"": 13.099287227511601, ""selection"": ""tournament"", ""selection_pressure"": 4, ""crossover_alpha"": 0.3309710967821944}"
40,0.6107131972762997,"{""pop_size"": 138, ""crossover"": ""sbx"", ""crossover_prob"": 0.7709663337710431, ""mutation"": ""pm"", ""mutation_prob_factor"": 0.7983150003231433, ""mutation_eta"": 38.04086002043882, ""selection"": ""tournament"", ""selection_pressure"": 4, ""crossover_eta"": 6.601096664788585}"
41,0.7611384695086312,"{""pop_size"": 126, ""crossover"": ""sbx"", ""crossover_prob"": 0.6012373765049545, ""mutation"": ""non_uniform"", ""mutation_prob_factor"": 1.6181896878247537, ""mutation_eta"": 28.721699865561636, ""selection"": ""tournament"", ""selection_pressure"": 2, ""crossover_eta"": 33.22291344178886}"
42,0.4494124180723799,"{""pop_size"": 132, ""crossover"": ""blx_alpha"", ""crossover_prob"": 0.8454761789767125, ""mutation"": ""pm"", ""mutation_prob_factor"": 2.5891478118991773, ""mutation_eta"": 19.568319840844985, ""selection"": ""tournament"", ""selection_pressure"": 2, ""crossover_alpha"": 0.2557237332552652}"
43,0.577754315429134,"{""pop_size"": 157, ""crossover"": ""sbx"", ""crossover_prob"": 0.6977816763978562, ""mutation"": ""pm"", ""mutation_prob_factor"": 1.259793180842564, ""mutation_eta"": 14.047213252429872, ""selection"": ""tournament"", ""selection_pressure"": 2, ""crossover_eta"": 25.735311945841154}"
44,0.6634783969382934,"{""pop_size"": 163, ""crossover"": ""blx_alpha"", ""crossover_prob"": 0.7177822831990474, ""mutation"": ""pm"", ""mutation_prob_factor"": 0.8081121326139308, ""mutation_eta"": 13.489023568600935, ""selection"": ""tournament"", ""selection_pressure"": 2, ""crossover_alpha"": 0.6116974470849825}"
45,0.6361588440179783,"{""pop_size"": 123, ""crossover"": ""blx_alpha"", ""crossover_prob"": 0.9211572393940374, ""mutation"": ""pm"", ""mutation_prob_factor"": 2.896198308091631, ""mutation_eta"": 7.965037381122164, ""selection"": ""tournament"", ""selection_pressure"": 4, ""crossover_alpha"": 0.44697935368286423}"
46,0.8443454308935574,"{""pop_size"": 134, ""crossover"": ""sbx"", ""crossover_prob"": 0.8534262654850452, ""mutation"": ""non_uniform"", ""mutation_prob_factor"": 0.6746208095759005, ""mutation_eta"": 38.66336351837489, ""selection"": ""tournament"", ""selection_pressure"": 4, ""crossover_eta"": 38.532345361494095}"
47,0.7450265444359906,"{""pop_size"": 138, ""crossover"": ""blx_alpha"", ""crossover_prob"": 0.8349938631488382, ""mutation"": ""pm"", ""mutation_prob_factor"": 1.0128699650148196, ""mutation_eta"": 23.71125610782955, ""selection"": ""tournament"", ""selection_pressure"": 4, ""crossover_alpha"": 0.6789621606990461}"
48,0.6603422750041711,"{""pop_size"": 113, ""crossover"": ""blx_alpha"", ""crossover_prob"": 0.953407046260967, ""mutation"": ""non_uniform"", ""mutation_prob_factor"": 1.032153944257971, ""mutation_eta"": 30.208351443256742, ""selection"": ""tournament"", ""selection_pressure"": 2, ""crossover_alpha"": 0.18323879315210911}"
49,0.7974636144773187,"{""pop_size"": 106, ""crossover"": ""sbx"", ""crossover_prob"": 0.6079063134431568, ""mutation"": ""non_uniform"", ""mutation_prob_factor"": 0.6408581460855851, ""mutation_eta"": 38.093237300162585, ""selection"": ""tournament"", ""selection_pressure"": 4, ""crossover_eta"": 17.96522196325221}"
50,0.6651988283404727,"{""pop_size"": 182, ""crossover"": ""blx_alpha"", ""crossover_prob"": 0.9150581506957819, ""mutation"": ""pm"", ""mutation_prob_factor"": 1.8259600311987387, ""mutation_eta"": 23.384379685193185, ""selection"": ""tournament"", ""selection_pressure"": 4, ""crossover_alpha"": 0.46560336846200534}"
51,0.4954320157520687,"{""pop_size"": 106, ""crossover"": ""sbx"", ""crossover_prob"": 0.8382215105899592, ""mutation"": ""pm"", ""mutation_prob_factor"": 2.3316976440758395, ""mutation_eta"": 26.988472033056187, ""selection"": ""tournament"", ""selection_pressure"": 2, ""crossover_eta"": 15.296869671114568}"
52,0.6429400464976782,"{""pop_size"": 120, ""crossover"": ""blx_alpha"", ""crossover_prob"": 0.7490387973868955, ""mutation"": ""pm"", ""mutation_prob_factor"": 2.5853458072506332, ""mutation_eta"": 10.173977472193556, ""selection"": ""tournament"", ""selection_pressure"": 2, ""crossover_alpha"": 0.5998527076139512}"
53,0.4637515901593969,"{""pop_size"": 132, ""crossover"": ""sbx"", ""crossover_prob"": 0.9897818875532896, ""mutation"": ""pm"", ""mutation_prob_factor"": 2.734502931619275, ""mutation_eta"": 12.663003616520133, ""selection"": ""tournament"", ""selection_pressure"": 2, ""crossover_eta"": 22.232773871925158}"
54,0.563685110785252,"{""pop_size"": 127, ""crossover"": ""sbx"", ""crossover_prob"": 0.8365737348628206, ""mutation"": ""pm"", ""mutation_prob_factor"": 2.5365617674482555, ""mutation_eta"": 13.475889496023296, ""selection"": ""tournament"", ""selection_pressure"": 4, ""crossover_eta"": 27.578890378550277}"
55,0.520700237861291,"{""pop_size"": 105, ""crossover"": ""blx_alpha"", ""crossover_prob"": 0.6465495433765321, ""mutation"": ""pm"", ""mutation_prob_factor"": 2.4543898524765986, ""mutation_eta"": 17.980444649042052, ""selection"": ""tournament"", ""selection_pressure"": 4, ""crossover_alpha"": 0.24494979884587906}"
56,0.7882308784586576,"{""pop_size"": 103, ""crossover"": ""sbx"", ""crossover_prob"": 0.6727323079494577, ""mutation"": ""non_uniform"", ""mutation_prob_factor"": 1.3465771148751553, ""mutation_eta"": 19.71877531042483, ""selection"": ""tournament"", ""selection_pressure"": 4, ""crossover_eta"": 14.254044445456536}"
57,0.6614596273900567,"{""pop_size"": 163, ""crossover"": ""blx_alpha"", ""crossover_prob"": 0.8025536165721076, ""mutation"": ""pm"", ""mutation_prob_factor"": 1.4895319186490703, ""mutation_eta"": 25.066398385144605, ""selection"": ""tournament"", ""selection_pressure"": 3, ""crossover_alpha"": 0.731106307879189}"
58,0.7434692362361249,"{""pop_size"": 193, ""crossover"": ""blx_alpha"", ""crossover_prob"": 0.6205595279560321, ""mutation"": ""non_uniform"", ""mutation_prob_factor"": 0.6008692868892097, ""mutation_eta"": 18.11396766382886, ""selection"": ""tournament"", ""selection_pressure"": 3, ""crossover_alpha"": 0.575645623032006}"
59,0.47833114036103763,"{""pop_size"": 148, ""crossover"": ""blx_alpha"", ""crossover_prob"": 0.9245475457084633, ""mutation"": ""pm"", ""mutation_prob_factor"": 2.0310992643545536, ""mutation_eta"": 15.592169305105948, ""selection"": ""tournament"", ""selection_pressure"": 3, ""crossover_alpha"": 0.2312812782196402}"
