experiment,problem,n_obj,n_var,pop_size,n_evals,seed,engine,timing_policy,runtime_seconds,runtime_per_eval,hypervolume
population,dtlz2,3,12,100,50000,2,numpy,,6.292975500000466,0.00012585951000000932,0.7989522616835286
population,dtlz2,3,12,100,50000,2,numba,warm,7.148461799999495,0.0001429692359999899,0.7876197559278891
population,dtlz2,3,12,100,50000,3,numpy,,8.770213399999193,0.00017540426799998385,0.7851634924871315
population,dtlz2,3,12,100,50000,3,numba,warm,8.359810699999798,0.00016719621399999596,0.7909530568522739
population,dtlz2,3,12,100,50000,4,numpy,,11.096746999999596,0.0002219349399999919,0.7802199868794135
population,dtlz2,3,12,100,50000,4,numba,warm,4.44279010000173,8.88558020000346e-05,0.7782388589909592
population,dtlz2,3,12,200,50000,0,numpy,,17.70121470000231,0.0003540242940000462,0.8443224957678809
population,dtlz2,3,12,200,50000,0,numba,warm,6.237016399998538,0.00012474032799997075,0.8522643564529236
population,dtlz2,3,12,200,50000,1,numpy,,19.122944800001278,0.00038245889600002555,0.8519497832960928
population,dtlz2,3,12,200,50000,1,numba,warm,4.341743000000861,8.683486000001722e-05,0.8552532224019304
population,dtlz2,3,12,200,50000,2,numpy,,19.185010400000465,0.0003837002080000093,0.8366047189881238
population,dtlz2,3,12,200,50000,2,numba,warm,4.365890800003399,8.731781600006798e-05,0.8348206739294346
population,dtlz2,3,12,200,50000,3,numpy,,18.76663279999775,0.000375332655999955,0.8436500800697196
population,dtlz2,3,12,200,50000,3,numba,warm,4.216276499999367,8.432552999998734e-05,0.8403376196755716
population,dtlz2,3,12,200,50000,4,numpy,,19.063557400000718,0.00038127114800001435,0.8450930852365129
population,dtlz2,3,12,200,50000,4,numba,warm,8.020830100002058,0.00016041660200004116,0.8414400722437273
population,dtlz2,3,12,400,50000,0,numpy,,18.10170410000137,0.0003620340820000274,0.8889957994436242
population,dtlz2,3,12,400,50000,0,numba,warm,5.010626600000251,0.00010021253200000501,0.8928248686150733
population,dtlz2,3,12,400,50000,1,numpy,,30.739493900000525,0.0006147898780000105,0.8845801223368324
population,dtlz2,3,12,400,50000,1,numba,warm,5.083168499997555,0.00010166336999995111,0.8881791553917491
population,dtlz2,3,12,400,50000,2,numpy,,18.07419899999877,0.00036148397999997544,0.8927180940044747
population,dtlz2,3,12,400,50000,2,numba,warm,7.903705900000205,0.0001580741180000041,0.8928045544673523
population,dtlz2,3,12,400,50000,3,numpy,,18.215596599999117,0.0003643119319999823,0.8891781921920101
population,dtlz2,3,12,400,50000,3,numba,warm,5.019318000002386,0.00010038636000004771,0.8914054875510686
population,dtlz2,3,12,400,50000,4,numpy,,30.676142500000424,0.0006135228500000084,0.8915282334220472
population,dtlz2,3,12,400,50000,4,numba,warm,8.375047199999244,0.00016750094399998488,0.8963032966085692
population,dtlz2,3,12,800,50000,0,numpy,,31.266000799998437,0.0006253200159999688,0.9174060744402377
population,dtlz2,3,12,800,50000,0,numba,warm,6.755251300000964,0.00013510502600001928,0.9162535250497132
population,dtlz2,3,12,800,50000,1,numpy,,31.451125699997647,0.000629022513999953,0.919721701203491
population,dtlz2,3,12,800,50000,1,numba,warm,10.707968400001846,0.00021415936800003692,0.9242027665915373
population,dtlz2,3,12,800,50000,2,numpy,,31.278413799998816,0.0006255682759999763,0.9207536573804659
population,dtlz2,3,12,800,50000,2,numba,warm,6.897170199998072,0.00013794340399996146,0.9201656658279268
population,dtlz2,3,12,800,50000,3,numpy,,31.24133040000015,0.0006248266080000031,0.9133731788260403
population,dtlz2,3,12,800,50000,3,numba,warm,10.732076199998119,0.00021464152399996238,0.9175827936567554
population,dtlz2,3,12,800,50000,4,numpy,,31.07368629999837,0.0006214737259999674,0.9214016883869686
population,dtlz2,3,12,800,50000,4,numba,warm,11.906949699998222,0.00023813899399996444,0.9181294883290702
population,wfg2,2,24,50,50000,0,numpy,,15.396662099999958,0.0003079332419999992,0.9661237485255152
population,wfg2,2,24,50,50000,0,numba,warm,10.324641300001531,0.00020649282600003062,0.9744333687554123
population,wfg2,2,24,50,50000,1,numpy,,8.252529900000809,0.00016505059800001618,0.9775385144453623
population,wfg2,2,24,50,50000,1,numba,warm,5.589575400001195,0.0001117915080000239,0.9828225443563525
population,wfg2,2,24,50,50000,2,numpy,,15.483499499998288,0.0003096699899999658,0.9699223322510002
population,wfg2,2,24,50,50000,2,numba,warm,5.537605000001349,0.00011075210000002699,0.9766657473683247
population,wfg2,2,24,50,50000,3,numpy,,15.36278890000176,0.0003072557780000352,0.9800221303159106
population,wfg2,2,24,50,50000,3,numba,warm,10.397978600001807,0.00020795957200003614,0.9752730916677003
population,wfg2,2,24,50,50000,4,numpy,,15.249957700001687,0.0003049991540000337,0.977601122511024
population,wfg2,2,24,50,50000,4,numba,warm,5.649840699999913,0.00011299681399999827,0.9817650981837065
population,wfg2,2,24,100,50000,0,numpy,,8.237880999997287,0.00016475761999994575,0.9672964005581889
population,wfg2,2,24,100,50000,0,numba,warm,8.62172709999868,0.00017243454199997358,0.9821358810946639
population,wfg2,2,24,100,50000,1,numpy,,8.267065100000764,0.00016534130200001527,0.9812815972549442
population,wfg2,2,24,100,50000,1,numba,warm,9.046258800000942,0.00018092517600001883,0.9805469478285149
population,wfg2,2,24,100,50000,2,numpy,,8.332054099999368,0.00016664108199998737,0.984479186001543
population,wfg2,2,24,100,50000,2,numba,warm,4.795575700001791,9.591151400003582e-05,0.9634746152159914
population,wfg2,2,24,100,50000,3,numpy,,13.411517600001389,0.00026823035200002776,0.9772166574858445
population,wfg2,2,24,100,50000,3,numba,warm,4.5546734999988985,9.109346999997797e-05,0.9830199195834994
population,wfg2,2,24,100,50000,4,numpy,,8.613321099997847,0.00017226642199995695,0.984130763563032
population,wfg2,2,24,100,50000,4,numba,warm,7.480480599999282,0.00014960961199998564,0.9851653899244378
population,wfg2,2,24,200,50000,0,numpy,,10.787551800000074,0.00021575103600000148,0.9820595538207189
population,wfg2,2,24,200,50000,0,numba,warm,6.8702118000001065,0.00013740423600000213,0.983038789748022
population,wfg2,2,24,200,50000,1,numpy,,10.758840300000884,0.00021517680600001768,0.9831695279526406
population,wfg2,2,24,200,50000,1,numba,warm,4.184004500002629,8.368009000005259e-05,0.987619265946518
population,wfg2,2,24,200,50000,2,numpy,,17.345366500001546,0.0003469073300000309,0.982346733600652
population,wfg2,2,24,200,50000,2,numba,warm,6.3869463999981235,0.00012773892799996248,0.9840431609568661
population,wfg2,2,24,200,50000,3,numpy,,10.904422999999952,0.00021808845999999902,0.9841654694242324
population,wfg2,2,24,200,50000,3,numba,warm,6.86795930000153,0.0001373591860000306,0.9841468763708446
population,wfg2,2,24,200,50000,4,numpy,,17.212955000002694,0.0003442591000000539,0.9852608903454212
population,wfg2,2,24,200,50000,4,numba,warm,6.279168499997468,0.00012558336999994935,0.9853710044532475
population,wfg2,2,24,400,50000,0,numpy,,26.136303499999485,0.0005227260699999897,0.9843421764464604
population,wfg2,2,24,400,50000,0,numba,warm,6.431804799998645,0.0001286360959999729,0.9871565973458427
population,wfg2,2,24,400,50000,1,numpy,,17.508243899999798,0.0003501648779999959,0.983804398904121
population,wfg2,2,24,400,50000,1,numba,warm,6.265288299997337,0.00012530576599994675,0.9844277000858648
population,wfg2,2,24,400,50000,2,numpy,,17.96032810000179,0.0003592065620000358,0.9837185464043245
population,wfg2,2,24,400,50000,2,numba,warm,6.848955900000874,0.0001369791180000175,0.9822387849216732
population,wfg2,2,24,400,50000,3,numpy,,17.924364800001058,0.00035848729600002115,0.9933638883591673
population,wfg2,2,24,400,50000,3,numba,warm,6.755876200000785,0.0001351175240000157,0.9897970049179147
population,wfg2,2,24,400,50000,4,numpy,,26.454768100000365,0.0005290953620000073,0.9853032481553127
population,wfg2,2,24,400,50000,4,numba,warm,4.316371500000969,8.632743000001937e-05,0.9847334065196939
population,wfg2,2,24,800,50000,0,numpy,,30.13550270000269,0.0006027100540000538,0.968955845136934
population,wfg2,2,24,800,50000,0,numba,warm,7.526313299997128,0.00015052626599994256,0.962939543481103
