variant,problem,engine,n_evals,seed,evals,runtime_seconds,hypervolume
baseline,zdt1,numba,100000,15,100000,3.243200708006043,0.990703752362582
baseline,zdt1,numba,100000,16,5000,1.5833766580035444,0.7527153485317377
baseline,zdt1,numba,100000,16,10000,1.669148460001452,0.9569312456529692
baseline,zdt1,numba,100000,16,20000,1.844197544000053,0.987968951348553
baseline,zdt1,numba,100000,16,50000,2.372637457003293,0.989788693037142
baseline,zdt1,numba,100000,16,100000,3.250653394003166,0.9908857946530976
baseline,zdt1,numba,100000,17,5000,1.5831692089996068,0.7842000071149491
baseline,zdt1,numba,100000,17,10000,1.6686489839994465,0.9631792086234964
baseline,zdt1,numba,100000,17,20000,1.8412311190040784,0.9876276485590508
baseline,zdt1,numba,100000,17,50000,2.3618464800019865,0.9908203725997732
baseline,zdt1,numba,100000,17,100000,3.2314347389983595,0.99092491148637
baseline,zdt1,numba,100000,18,5000,1.583468777003873,0.6822307376021627
baseline,zdt1,numba,100000,18,10000,1.66890914200485,0.9482524980413362
baseline,zdt1,numba,100000,18,20000,1.8444963810034096,0.9864032200328006
baseline,zdt1,numba,100000,18,50000,2.373646328000177,0.9905644495891892
baseline,zdt1,numba,100000,18,100000,3.255786090005131,0.990997843961588
baseline,zdt1,numba,100000,19,5000,1.5829317410025396,0.7698691641910461
baseline,zdt1,numba,100000,19,10000,1.668767542003479,0.9692494674989892
baseline,zdt1,numba,100000,19,20000,1.84350201900088,0.9880060711516712
baseline,zdt1,numba,100000,19,50000,2.3700055700028315,0.990208721318109
baseline,zdt1,numba,100000,19,100000,3.247100874003081,0.990810557475958
baseline,zdt1,numba,100000,20,5000,1.5829680919996465,0.6882057878824827
baseline,zdt1,numba,100000,20,10000,1.6667712310008935,0.9588691274264848
baseline,zdt1,numba,100000,20,20000,1.8440412650015787,0.9855673862281372
baseline,zdt1,numba,100000,20,50000,2.378576486000384,0.990895426510542
baseline,zdt1,numba,100000,20,100000,3.27065268199658,0.989789226174042
baseline,zdt1,numba,100000,21,5000,1.582054688995413,0.7400171795938956
baseline,zdt1,numba,100000,21,10000,1.666738150001038,0.9654504408310116
baseline,zdt1,numba,100000,21,20000,1.8412580889998933,0.9877174880857076
