suite,host,problem,left_variant,right_variant,comparison_name,comparison_kind,hv_gap,runtime_ratio,reward_gap,igd_plus_gap,outcome
anchor,nsgaii,zdt1,adaptive_hierarchical_joint,adaptive_hierarchical_joint_fixed_family_sbx,hierarchical_vs_fixed_family_sbx,pairwise,0.13001213966215008,0.9758680644938937,-0.01879002338696706,-0.10573549720416991,win
anchor,nsgaii,zdt1,adaptive_hierarchical_joint,adaptive_hierarchical_joint_fixed_family_de,hierarchical_vs_fixed_family_de,pairwise,0.1184434013605804,0.968528225046347,0.009644842962330064,-0.06846750434795312,win
anchor,nsgaii,zdt1,adaptive_hierarchical_joint_fixed_family_sbx,adaptive_flat_parameter,fixed_family_sbx_vs_flat_parameter,pairwise,0.0,0.9310250053167707,0.0,0.0,tie
anchor,nsgaii,zdt3,adaptive_flat_operator,fixed_sbx,adaptive_flat_operator_vs_best_fixed,vs_best_fixed,-0.07216117276195799,1.4762652834700132,0.2153397624179385,0.047103495415777574,loss
anchor,nsgaii,zdt3,adaptive_flat_parameter,fixed_sbx,adaptive_flat_parameter_vs_best_fixed,vs_best_fixed,-0.0785582148035977,1.621554033739111,0.23272658872835592,0.03835391551289119,loss
anchor,nsgaii,zdt3,adaptive_hierarchical_joint,fixed_sbx,adaptive_hierarchical_joint_vs_best_fixed,vs_best_fixed,0.03532862399422365,1.6369698118286418,0.20346847455702957,-0.016026998572360895,win
anchor,nsgaii,zdt3,adaptive_hierarchical_joint_fixed_family_de,fixed_sbx,adaptive_hierarchical_joint_fixed_family_de_vs_best_fixed,vs_best_fixed,-0.4011824072493857,1.5785528999111464,0.18855502016396603,0.3081960725530169,loss
anchor,nsgaii,zdt3,adaptive_hierarchical_joint_fixed_family_sbx,fixed_sbx,adaptive_hierarchical_joint_fixed_family_sbx_vs_best_fixed,vs_best_fixed,-0.0785582148035977,1.533003278449378,0.23272658872835592,0.03835391551289119,loss
anchor,nsgaii,zdt3,adaptive_hierarchical_joint_no_regime,fixed_sbx,adaptive_hierarchical_joint_no_regime_vs_best_fixed,vs_best_fixed,0.04069729074828832,1.5695979411955054,0.20508652973996053,-0.016869897372218584,win
anchor,nsgaii,zdt3,adaptive_hierarchical_joint,adaptive_flat_operator,hierarchical_vs_flat_operator,pairwise,0.10748979675618164,1.1088588414007048,-0.011871287860908936,-0.06313049398813847,win
anchor,nsgaii,zdt3,adaptive_hierarchical_joint,adaptive_flat_parameter,hierarchical_vs_flat_parameter,pairwise,0.11388683879782135,1.0095067927240042,-0.029258114171326344,-0.054380914085252086,win
anchor,nsgaii,zdt3,adaptive_hierarchical_joint,adaptive_hierarchical_joint_no_regime,hierarchical_vs_no_regime,pairwise,-0.005368666754064666,1.042923011597366,-0.0016180551829309553,0.0008428987998576887,loss
anchor,nsgaii,zdt3,adaptive_hierarchical_joint,adaptive_hierarchical_joint_fixed_family_sbx,hierarchical_vs_fixed_family_sbx,pairwise,0.11388683879782135,1.0678188591249624,-0.029258114171326344,-0.054380914085252086,win
anchor,nsgaii,zdt3,adaptive_hierarchical_joint,adaptive_hierarchical_joint_fixed_family_de,hierarchical_vs_fixed_family_de,pairwise,0.43651103124360935,1.0370066229144324,0.014913454393063547,-0.3242230711253778,win
anchor,nsgaii,zdt3,adaptive_hierarchical_joint_fixed_family_sbx,adaptive_flat_parameter,fixed_family_sbx_vs_flat_parameter,pairwise,0.0,0.9453914248632556,0.0,0.0,tie
zcat,moead,zcat1,adaptive_flat_operator,fixed_sbx,adaptive_flat_operator_vs_best_fixed,vs_best_fixed,1.0876346955699212,1.1767854624452265,0.31271061117644666,0.0073690068600852365,win
zcat,moead,zcat1,adaptive_flat_parameter,fixed_sbx,adaptive_flat_parameter_vs_best_fixed,vs_best_fixed,2.0430277095316356,1.1688730364935103,0.34910137876692293,-0.16267771424776045,win
zcat,moead,zcat1,adaptive_hierarchical_joint,fixed_sbx,adaptive_hierarchical_joint_vs_best_fixed,vs_best_fixed,3.3398578667445697,1.197797357874883,0.2903968993741334,-0.15486033047477143,win
zcat,moead,zcat1,adaptive_hierarchical_joint_fixed_family_de,fixed_sbx,adaptive_hierarchical_joint_fixed_family_de_vs_best_fixed,vs_best_fixed,2.4175530353532757,1.2279634233086925,0.28396762551803234,-0.05523365257650503,win
zcat,moead,zcat1,adaptive_hierarchical_joint_fixed_family_sbx,fixed_sbx,adaptive_hierarchical_joint_fixed_family_sbx_vs_best_fixed,vs_best_fixed,2.0430277095316356,1.1896699189213271,0.34910137876692293,-0.16267771424776045,win
zcat,moead,zcat1,adaptive_hierarchical_joint_no_regime,fixed_sbx,adaptive_hierarchical_joint_no_regime_vs_best_fixed,vs_best_fixed,3.3398578667445697,1.1893622066034664,0.2903968993741334,-0.15486033047477143,win
zcat,moead,zcat1,adaptive_hierarchical_joint,adaptive_flat_operator,hierarchical_vs_flat_operator,pairwise,2.2522231711746485,1.0178553322591155,-0.022313711802313285,-0.16222933733485667,win
zcat,moead,zcat1,adaptive_hierarchical_joint,adaptive_flat_parameter,hierarchical_vs_flat_parameter,pairwise,1.2968301572129342,1.0247454774627553,-0.058704479392789555,0.007817383772989017,win
zcat,moead,zcat1,adaptive_hierarchical_joint,adaptive_hierarchical_joint_no_regime,hierarchical_vs_no_regime,pairwise,0.0,1.0070921635348624,0.0,0.0,tie
zcat,moead,zcat1,adaptive_hierarchical_joint,adaptive_hierarchical_joint_fixed_family_sbx,hierarchical_vs_fixed_family_sbx,pairwise,1.2968301572129342,1.00683167559698,-0.058704479392789555,0.007817383772989017,win
zcat,moead,zcat1,adaptive_hierarchical_joint,adaptive_hierarchical_joint_fixed_family_de,hierarchical_vs_fixed_family_de,pairwise,0.922304831391294,0.9754340684248328,0.0064292738561010365,-0.0996266778982664,win
zcat,moead,zcat1,adaptive_hierarchical_joint_fixed_family_sbx,adaptive_flat_parameter,fixed_family_sbx_vs_flat_parameter,pairwise,0.0,1.0177922509789472,0.0,0.0,tie
zcat,moead,zcat14,adaptive_flat_operator,fixed_sbx,adaptive_flat_operator_vs_best_fixed,vs_best_fixed,1.0950428706994586,4.028076003571563,0.3287809904502221,0.02772181789569661,win
zcat,moead,zcat14,adaptive_flat_parameter,fixed_sbx,adaptive_flat_parameter_vs_best_fixed,vs_best_fixed,0.9952219009721688,4.268109594549246,0.33023819609651034,-0.07174279625825086,win
zcat,moead,zcat14,adaptive_hierarchical_joint,fixed_sbx,adaptive_hierarchical_joint_vs_best_fixed,vs_best_fixed,0.21147110416294623,4.180495574078981,0.2996091024405799,-0.06744835878021416,win
zcat,moead,zcat14,adaptive_hierarchical_joint_fixed_family_de,fixed_sbx,adaptive_hierarchical_joint_fixed_family_de_vs_best_fixed,vs_best_fixed,-0.06211450283370823,4.1482764833697745,0.2910811682242819,0.13525249277929052,loss
zcat,moead,zcat14,adaptive_hierarchical_joint_fixed_family_sbx,fixed_sbx,adaptive_hierarchical_joint_fixed_family_sbx_vs_best_fixed,vs_best_fixed,0.9952219009721688,4.05792679467148,0.33023819609651034,-0.07174279625825086,win
zcat,moead,zcat14,adaptive_hierarchical_joint_no_regime,fixed_sbx,adaptive_hierarchical_joint_no_regime_vs_best_fixed,vs_best_fixed,0.3697870140759285,4.163904804566516,0.29762548822385143,-0.03672656794045881,win
zcat,moead,zcat14,adaptive_hierarchical_joint,adaptive_flat_operator,hierarchical_vs_flat_operator,pairwise,-0.8835717665365124,1.0378392985565001,-0.029171888009642155,-0.09517017667591077,loss
zcat,moead,zcat14,adaptive_hierarchical_joint,adaptive_flat_parameter,hierarchical_vs_flat_parameter,pairwise,-0.7837507968092225,0.9794724061017189,-0.030629093655930417,0.004294437478036706,loss
zcat,moead,zcat14,adaptive_hierarchical_joint,adaptive_hierarchical_joint_no_regime,hierarchical_vs_no_regime,pairwise,-0.15831590991298228,1.0039844257472625,0.001983614216728491,-0.030721790839755347,loss
